CUST_ID,REGISTRATION_ID,AGE,GENDER,MARITAL_STATUS,PROFESSION,EDUCATION,INCOME,MEMBERS_IN_HOUSEHOLD,PRODUCT_BROWSED_TOTAL,PRODUCT_BROWSED_AVERAGE,PRODUCT_PURCHASED_TOTAL,PRODUCT_PURCHASED_AVERAGE,ITEMS_PLACED_IN_CART_TOTAL,ITEMS_PLACED_IN_CART_AVERAGE,ONSITE_SEARCHES_TOTAL,ONSITE_SEARCHES_AVERAGE,PAGE_VIEWS_TOTAL,PAGE_VIEWS_AVERAGE,AMOUNT_BROWSED_TOTAL,AMOUNT_BROWSED_AVERAGE,AMOUNT_CARTED_TOTAL,AMOUNT_CARTED_AVERAGE,AMOUNT_PURCHASED_TOTAL,AMOUNT_PURCHASED_AVERAGE,AMOUNT_ABANDONED_TOTAL,AMOUNT_ABANDONED_AVERAGE,NUMBER_OF_ACTIVITIES_TOTAL,NUMBER_OF_ACTIVITIES_AVERAGE,NUMBER_OF_SESSIONS,COOKIE_ID,PCI_BUYER_CATEGORY,PCI_LTV,PCI_DEMOGRAPHIC_CLUSTER,PCI_ONLINE_BEHAVIOR_CLUSTER,PCI_BUYING_BEHAVIOR_CLUSTER,,,PCI_PRODUCT_PURCHASE_AFFINITY,PCI_PRODUCT_BROWSE_AFFINITY,PCI_NEXT_BEST_OFFER1,PCI_NEXT_BEST_OFFER2,PCI_NEXT_BEST_OFFER3,PCI_TOP_PRODUCT1,PCI_TOP_PRODUCT2,PCI_TOP_PRODUCT3
13,4245037,32,M,U,Engineer,Post College,51973,2,6,2,2,0.666667,3,1,0,0,34,11.333333,2364,788,2497,832.333333,1898,632.666667,2497,832.333333,80,26.666667,3,1.01E+22,Repeat Buyer,MEDIUM VALUE,MARRIED MEN,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Beauty,4,5,9,3211,3213,6178
14,4299604,24,F,M,Accountant,College,53172,2,11,1.571429,0,0,2,0.285714,3,0.428571,51,7.285714,5186,740.857143,553,79,0,0,553,79,113,16.142857,7,1.01E+22,Product Viewer,HIGH VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,4,5,9,3211,3213,6178
15,6509257,64,F,M,Professor,College,95593,2,6,2,0,0,3,1,3,1,36,12,4014,1338,2347,782.333333,0,0,2347,782.333333,80,26.666667,3,1.01E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,VISITOR,INSTORE HIGH VALUE NON OFFER SEEKER,,,Men's Career,Formal Shoes,2,3,1,3199,3194,3188
16,6765966,25,M,U,Professor,Post College,40721,2,6,1,1,0.166667,1,0.166667,0,0,38,6.333333,2834,472.333333,699,116.5,699,116.5,699,116.5,80,13.333333,6,9.71E+22,Buyer,MEDIUM VALUE,MARRIED MEN,REPEAT BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Home goods,Athletic Shoes,7,9,10,6200,6204,6209
17,6873460,30,M,M,Private Sector,High School,20822,4,7,1,0,0,2,0.285714,4,0.571429,44,6.285714,4213,601.857143,878,125.428571,0,0,878,125.428571,82,11.714286,7,9.71E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,4,9,10,3211,3213,6178
18,7981433,40,F,M,Doctor,College,71141,3,38,6.333333,9,1.5,16,2.666667,7,1.166667,371,61.833333,21918,3653,9630,1605,5596,932.666667,9630,1605,755,125.833333,6,9.71E+22,Repeat Buyer,HIGH VALUE,HIGH INCOME FAMILY,REPEAT BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Career,Women's Sportwear,4,9,10,3211,3213,6178
19,9144205,43,M,M,Self Employed,College,64876,3,3,1,0,0,0,0,1,0.333333,12,4,1577,525.666667,0,0,0,0,0,0,22,7.333333,3,9.71E+22,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,,,Women's Shoes,Accessories,4,5,9,3199,3194,3188
20,9815948,46,M,S,Self Employed,Post College,100248,1,3,0.6,0,0,0,0,2,0.4,17,3.4,1387,277.4,0,0,0,0,0,0,39,7.8,5,9.71E+22,Product Viewer,HIGH VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Casual,Furniture,4,5,9,6200,6204,6209
21,10252043,35,M,S,Doctor,College,43489,1,2,0.5,0,0,0,0,2,0.5,14,3.5,728,182,0,0,0,0,0,0,28,7,4,2.49E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,,,Women's Shoes,Beauty,2,3,1,3211,3213,6178
22,11077915,67,F,M,Scientist,Post College,96476,2,2,0.333333,0,0,0,0,2,0.333333,25,4.166667,548,91.333333,0,0,0,0,0,0,43,7.166667,6,2.49E+22,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,7,9,10,3211,3213,6178
23,BEN.ALBA,48,M,S,Pharmacist,Post College,93796,1,7,0.7,0,0,3,0.3,1,0.1,47,4.7,4323,432.3,1797,179.7,0,0,1797,179.7,101,10.1,10,2.49E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Career,Formal Shoes,4,9,10,3199,3194,3188
24,BEN.DERN,25,M,U,Financial analyst,College,50174,3,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,8,4,2,2.49E+22,Visitor,MEDIUM VALUE,MARRIED MEN,REPEAT BUYER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Home goods,Athletic Shoes,4,9,10,6200,6204,6209
25,BOB.BIRD,32,F,U,Nursing,College,27830,2,0,0,3,0.75,3,0.75,0,0,22,5.5,0,0,2097,524.25,2097,524.25,2097,524.25,43,10.75,4,2.49E+22,Repeat Buyer,MEDIUM VALUE,MARRIED WOMEN,PROBABLE BUYER,INSTORE LOW VALUE NON OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,4,5,9,3211,3213,6178
26,BOB.BODZ,25,M,U,Doctor,College,44762,2,12,0.75,0,0,0,0,3,0.1875,60,3.75,4828,301.75,0,0,0,0,0,0,135,8.4375,16,2.23E+21,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Career,Women's Sportwear,4,5,9,3211,3213,6178
27,BOB.MONK,25,M,U,Engineer,College,44839,2,22,1.375,0,0,1,0.0625,3,0.1875,107,6.6875,12728,795.5,599,37.4375,0,0,599,37.4375,236,14.75,16,2.23E+21,Product Viewer,HIGH VALUE,MARRIED MEN,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Women's Shoes,Accessories,2,3,1,3199,3194,3188
28,BOB.MOSS,35,F,S,Pharmacist,College,71209,1,20,0.869565,2,0.086957,8,0.347826,5,0.217391,146,6.347826,7335,318.913043,3412,148.347826,1088,47.304348,3412,148.347826,299,13,23,8.18E+22,Repeat Buyer,HIGH VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Casual,Furniture,7,9,10,6200,6204,6209
29,BOB.PITT,38,M,S,Pharmacist,Post College,64196,1,12,1,0,0,4,0.333333,4,0.333333,72,6,5918,493.166667,1906,158.833333,0,0,1906,158.833333,150,12.5,12,8.18E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Beauty,4,9,10,3211,3213,6178
30,BOB.TOWB,30,F,U,Professor,College,44754,2,6,0.428571,0,0,0,0,6,0.428571,52,3.714286,2804,200.285714,0,0,0,0,0,0,112,8,14,8.18E+22,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,4,9,10,3211,3213,6178
31,BOB.WEBB,44,F,U,Private Sector,High School,39802,2,19,0.863636,0,0,2,0.090909,4,0.181818,112,5.090909,10201,463.681818,1498,68.090909,0,0,1498,68.090909,233,10.590909,22,8.18E+22,Product Viewer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,VISITOR,INSTORE HIGH VALUE NON OFFER SEEKER,,,Men's Career,Formal Shoes,4,5,9,3199,3194,3188
32,TOM.PITT,45,F,M,Doctor,College,52539,3,1,0.333333,0,0,0,0,0,0,6,2,779,259.666667,0,0,0,0,0,0,11,3.666667,3,8.18E+22,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Home goods,Athletic Shoes,4,5,9,6200,6204,6209
33,TOM.TOWB,40,F,M,Nursing,College,62966,2,7,1.4,0,0,1,0.2,1,0.2,28,5.6,3953,790.6,584,116.8,0,0,584,116.8,48,9.6,5,6.18E+22,Product Viewer,HIGH VALUE,MARRIED WOMEN,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,2,3,1,3211,3213,6178
34,ALAN.MOSS,26,M,U,Engineer,College,49615,2,5,1,0,0,0,0,0,0,24,4.8,3435,687,0,0,0,0,0,0,43,8.6,5,6.18E+22,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Career,Women's Sportwear,7,9,10,3211,3213,6178
35,ALAN.POLO,73,M,S,Doctor,Post College,108253,1,1,0.333333,0,0,0,0,0,0,11,3.666667,999,333,0,0,0,0,0,0,20,6.666667,3,7.12E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Accessories,4,9,10,3199,3194,3188
36,BOB.BAUER,50,F,M,Engineer,College,82103,6,11,0.55,0,0,0,0,2,0.1,73,3.65,4184,209.2,0,0,0,0,0,0,146,7.3,20,2.66E+22,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Casual,Furniture,4,9,10,6200,6204,6209
37,BOB.BRINK,43,F,M,Financial analyst,Post College,92772,4,16,1.230769,0,0,1,0.076923,3,0.230769,80,6.153846,7734,594.923077,629,48.384615,0,0,629,48.384615,157,12.076923,13,2.66E+22,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Beauty,4,5,9,3211,3213,6178
38,BOB.HOUSE,43,F,M,Engineer,College,61872,3,9,0.818182,2,0.181818,2,0.181818,1,0.090909,40,3.636364,3701,336.454545,2298,208.909091,2298,208.909091,2298,208.909091,87,7.909091,11,2.66E+22,Repeat Buyer,HIGH VALUE,MARRIED WOMEN,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,4,5,9,3211,3213,6178
39,BOB.READY,29,M,M,Doctor,College,28145,4,11,0.846154,0,0,1,0.076923,1,0.076923,67,5.153846,6999,538.384615,599,46.076923,0,0,599,46.076923,134,10.307692,13,2.66E+22,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,,,Men's Career,Formal Shoes,2,3,1,3199,3194,3188
40,BRED.POLO,25,F,U,Not employed,College,56473,2,2,1,0,0,0,0,0,0,3,1.5,878,439,0,0,0,0,0,0,5,2.5,2,3.02E+22,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Home goods,Athletic Shoes,7,9,10,6200,6204,6209
41,BRED.TOWB,37,M,S,Self Employed,Post College,64899,1,0,0,2,0.4,2,0.4,0,0,19,3.8,0,0,1228,245.6,1228,245.6,1228,245.6,41,8.2,5,3.02E+22,Repeat Buyer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PROBABLE BUYER,INSTORE LOW VALUE NON OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,4,9,10,3211,3213,6178
42,BRED.WEBB,25,F,U,Not employed,College,64673,2,10,0.5,0,0,1,0.05,6,0.3,69,3.45,6520,326,449,22.45,0,0,449,22.45,137,6.85,20,3.02E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,,,Women's Career,Women's Sportwear,4,9,10,3211,3213,6178
43,EMMA.MOSS,26,F,S,Engineer,College,48436,1,11,1.1,0,0,0,0,2,0.2,35,3.5,5149,514.9,0,0,0,0,0,0,72,7.2,10,3.02E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Shoes,Accessories,4,5,9,3199,3194,3188
44,GREG.BIRD,49,M,S,Professor,College,60680,1,19,0.575758,3,0.090909,5,0.151515,16,0.484848,181,5.484848,7081,214.575758,1945,58.939394,1347,40.818182,1945,58.939394,381,11.545455,33,5.01E+22,Repeat Buyer,HIGH VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Casual,Furniture,4,5,9,6200,6204,6209
45,GREG.BODZ,33,F,U,Scientist,College,63147,2,17,0.772727,0,0,2,0.090909,9,0.409091,120,5.454545,6098,277.181818,658,29.909091,0,0,658,29.909091,239,10.863636,22,5.01E+22,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Beauty,2,3,1,3211,3213,6178
46,GREG.MONK,27,M,S,Professor,Post College,60122,1,5,0.5,0,0,0,0,6,0.6,57,5.7,1775,177.5,0,0,0,0,0,0,118,11.8,10,5.01E+22,Product Viewer,HIGH VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,7,9,10,3211,3213,6178
47,GREG.MOSS,29,F,U,Doctor,College,63538,2,19,0.678571,0,0,0,0,12,0.428571,118,4.214286,8872,316.857143,0,0,0,0,0,0,251,8.964286,28,5.01E+22,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Career,Formal Shoes,4,9,10,3199,3194,3188
48,GREG.PITT,52,M,M,Engineer,College,64587,6,18,1.8,0,0,8,0.8,1,0.1,94,9.4,11102,1110.2,5592,559.2,0,0,5592,559.2,215,21.5,10,5.01E+22,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Home goods,Athletic Shoes,4,9,10,6200,6204,6209
49,GREG.TOWB,41,F,S,Not employed,High School,42377,1,13,0.590909,0,0,1,0.045455,7,0.318182,73,3.318182,6569,298.590909,299,13.590909,0,0,299,13.590909,157,7.136364,22,5.01E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,4,5,9,3211,3213,6178
50,GREG.WEBB,41,F,M,Not employed,College,39151,2,9,0.5625,0,0,1,0.0625,7,0.4375,59,3.6875,4161,260.0625,199,12.4375,0,0,199,12.4375,131,8.1875,16,8.33E+22,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Women's Career,Women's Sportwear,4,5,9,3211,3213,6178
51,JOHN.ALBA,33,M,S,Private Sector,High School,28717,1,3,0.5,0,0,0,0,2,0.333333,23,3.833333,1227,204.5,0,0,0,0,0,0,46,7.666667,6,8.33E+22,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,,,Women's Shoes,Accessories,2,3,1,3199,3194,3188
52,JOHN.BIRD,31,M,U,Doctor,Post College,67756,2,12,0.631579,0,0,0,0,3,0.157895,91,4.789474,6158,324.105263,0,0,0,0,0,0,196,10.315789,19,8.33E+22,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Casual,Furniture,7,9,10,6200,6204,6209
53,JOHN.BODZ,44,M,S,Financial analyst,Post College,51826,1,23,0.638889,0,0,2,0.055556,19,0.527778,153,4.25,12122,336.722222,1398,38.833333,0,0,1398,38.833333,313,8.694444,36,8.33E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Beauty,4,9,10,3211,3213,6178
54,JOHN.MONK,30,M,U,Not employed,College,54670,2,18,0.818182,0,0,3,0.136364,7,0.318182,133,6.045455,7794,354.272727,1477,67.136364,0,0,1477,67.136364,272,12.363636,22,4.58E+22,Product Viewer,LOW VALUE,MARRIED MEN,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,4,9,10,3211,3213,6178
55,JOHN.MOSS,43,M,S,Engineer,College,36530,1,12,0.571429,0,0,0,0,5,0.238095,103,4.904762,4543,216.333333,0,0,0,0,0,0,200,9.52381,21,4.58E+22,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Career,Formal Shoes,4,5,9,3199,3194,3188
56,JOHN.PITT,35,F,S,Financial analyst,Post College,74108,1,7,0.875,0,0,1,0.125,1,0.125,47,5.875,2070,258.75,299,37.375,0,0,299,37.375,111,13.875,8,4.56E+22,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Home goods,Athletic Shoes,4,5,9,6200,6204,6209
57,JOHN.TOWB,46,F,M,Scientist,Post College,87919,4,14,1,0,0,1,0.071429,5,0.357143,77,5.5,6691,477.928571,449,32.071429,0,0,449,32.071429,161,11.5,14,4.56E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,2,3,1,3211,3213,6178
58,JOHN.WEBB,42,F,M,Engineer,College,75544,2,5,0.5,0,0,0,0,1,0.1,39,3.9,3195,319.5,0,0,0,0,0,0,85,8.5,10,4.56E+22,Product Viewer,HIGH VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Women's Career,Women's Sportwear,7,9,10,3211,3213,6178
59,MARK.DERN,25,F,U,Accountant,College,23758,2,8,1,0,0,3,0.375,2,0.25,42,5.25,6052,756.5,1897,237.125,0,0,1897,237.125,90,11.25,8,4.56E+22,Product Viewer,LOW VALUE,MARRIED WOMEN,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Shoes,Accessories,4,9,10,3199,3194,3188
60,MILA.BODZ,29,M,S,Nursing,Post College,81858,1,10,0.909091,0,0,3,0.272727,6,0.545455,56,5.090909,6190,562.727273,1657,150.636364,0,0,1657,150.636364,116,10.545455,11,4.56E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Casual,Furniture,4,9,10,6200,6204,6209
61,MILA.MONK,59,F,M,Not employed,High School,43092,3,19,0.863636,0,0,2,0.090909,4,0.181818,112,5.090909,13441,610.954545,1548,70.363636,0,0,1548,70.363636,233,10.590909,22,4.56E+22,Product Viewer,HIGH VALUE,MARRIED WOMEN,VISITOR,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Women's Shoes,Beauty,4,5,9,3211,3213,6178
62,OWEN.ALBA,38,F,M,Engineer,Post College,93198,5,6,0.428571,0,0,0,0,6,0.428571,52,3.714286,3474,248.142857,0,0,0,0,0,0,112,8,14,9.66E+22,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,4,5,9,3211,3213,6178
63,OWEN.BODZ,44,M,M,Self Employed,High School,43606,4,1,0.166667,0,0,0,0,0,0,15,2.5,499,83.166667,0,0,0,0,0,0,24,4,6,8.60E+22,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,,,Men's Career,Formal Shoes,2,3,1,3199,3194,3188
64,OWEN.MONK,54,M,M,Engineer,Post College,77164,3,2,0.333333,0,0,0,0,0,0,27,4.5,1398,233,0,0,0,0,0,0,47,7.833333,6,8.60E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Home goods,Athletic Shoes,7,9,10,6200,6204,6209
65,OWEN.TOWB,33,M,M,Unemployed,High School,27188,4,3,0.5,0,0,0,0,2,0.333333,17,2.833333,1027,171.166667,0,0,0,0,0,0,34,5.666667,6,6.51E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,4,9,10,3211,3213,6178
